word,type
Abscess,n.
Abscesses,pl. 
Abscession,n.
Abscind,v. t.
Abscision,n.
Absciss,n.
Abscissa,n.
Abscissae,pl. 
Abscissas,pl. 
Abscisses,pl. 
Abscission,n.
Abscond,v. i.
Abscond,v. t.
Absconded,imp. & p. p.
Abscondence,n.
Absconder,n.
Absconding,p. pr. & vb. n.
Absence,n.
Absent,a.
Absent,v. t.
Absent-minded,a.
Absentaneous,a.
Absentation,n.
Absented,imp. & p. p.
Absentee,n.
Absenteeism,n.
Absenter,n.
Absenting,p. pr. & vb. n.
Absently,adv.
Absentment,n.
Absentness,n.
Absey-book,n.
Absinth,n.
Absinthate,n.
Absinthe,n.
Absinthial,a.
Absinthian,n.
Absinthiate,v. t.
Absinthiated,a.
Absinthic,a.
Absinthin,n.
Absinthism,n.
Absinthium,n.
Absis,n.
Absist,v. i.
Absistence,n.
Absolute,a.
Absolute,n.
Absolutely,adv.
Absoluteness,n.
Absolution,n.
Absolutism,n.
Absolutist,a.
Absolutist,n.
Absolutistic,a.
Absolutory,a.
Absolvable,a.
Absolvatory,a.
Absolve,v. t.
Absolved,imp. & p. p.
Absolvent,a.
Absolvent,n.
Absolver,n.
Absolving,p. pr. & vb. n.
Absonant,a.
Absonous,a.
Absorb,v. t.
Absorbability,n.
Absorbable,a.
Absorbed,imp. & p. p.
Absorbedly,adv.
Absorbency,n.
Absorbent,a.
Absorbent,n.
Absorber,n.
Absorbing,a.
Absorbing,p. pr. & vb. n.
Absorbition,n.
Absorpt,a.
Absorption,n.
Absorptive,a.
Absorptiveness,n.
Absorptivity,n.
Absquatulate,v. i.
Absque hoc,
Abstain,v. i.
Abstain,v. t.
Abstained,imp. & p. p.
Abstainer,n.
Abstaining,p. pr. & vb. n.
Abstemious,a.
Abstemiousness,n.
Abstention,a.
Abstentious,a.
Absterge,v. t.
Abstergent,a.
Abstergent,n.
Absterse,v. t.
Abstersion,n.
Abstersive,a.
Abstersive,n.
Abstersiveness,n.
Abstinence,n.
Abstinency,n.
Abstinent,a.
Abstinent,n.
Abstinently,adv.
Abstorted,a.
Abstract,a.
Abstract,v. t.
Abstracted,a.
Abstracted,imp. & p. p.
Abstractedly,adv.
Abstractedness,n.
Abstracter,n.
Abstracting,p. pr. & vb. n.
Abstraction,a.
Abstractional,a.
Abstractionist,n.
Abstractitious,a.
Abstractive,a.
Abstractively,adv.
Abstractiveness,n.
Abstractly,adv.
Abstractness,n.
Abstringe,v. t.
Abstrude,v. t.
Abstruse,a.
Abstrusely,adv.
Abstruseness,n.
Abstrusion,n.
Abstrusity,n.
Absume,v. t.
Absumption,n.
Absurd,a.
Absurd,n.
Absurdities,pl. 
Absurdity,n.
Absurdly,adv.
Absurdness,n.
Abuna,n.
Abundance,n.
Abundant,a.
Abundantly,adv.
Aburst,adv.
Abusable,a.
Abusage,n.
Abuse,v. t.
Abused,imp. & p. p.
Abuseful,a.
Abuser,n.
Abusing,p. pr. & vb. n.
Abusion,v. t.
Abusive,a.
Abusively,adv.
Abusiveness,n.
Abut,v. i.
Abutilon,n.
Abutment,n.
Abuttal,n.
Abutted,imp. & p. p.
Abutter,n.
Abutting,p. pr. & vb. n.
Abuzz,a.
Aby,v. t. & i.
Abye,v. t. & i.
Abyme,n.
Abysm,n.
Abysmal,a.
Abysmally,adv.
Abyss,n.
Abyssal,a.
Abyssinian,a.
Abyssinian,n.
Acacia,n.
Acaciae,pl. 
Acacias,pl. 
Acacin,n.
Acacine,n.
Academe,n.
Academial,a.
Academian,n.
Academic,a.
Academic,n.
Academical,a.
Academically,adv.
Academicals,n. pl.
Academician,n.
Academicism,n.
Academies,pl. 
Academism,n.
Academist,n.
Academy,n.
Acadian,a.
Acadian,n.
Acajou,n.
Acaleph,n.
Acalephae,n. pl.
Acalephan,n.
Acalephans,pl. 
Acalephoid,a.
Acalephs,pl. 
Acalycine,a.
Acalysinous,a.
Acanth,n.
Acantha,n.
Acanthaceous,a.
Acanthi,pl. 
Acanthine,a.
Acanthocarpous,a.
Acanthocephala,n. pl.
Acanthocephalous,a.
Acanthophorous,a.
Acanthopodious,a.
Acanthopteri,n. pl.
Acanthopterous,a.
Acanthopterygian,a.
Acanthopterygian,n.
Acanthopterygii,n. pl.
Acanthopterygious,a.
Acanthus,n.
Acanthuses,pl. 
Acapsular,a.
Acardiac,a.
Acari,pl. 
Acaridan,n.
Acarina,n. pl.
Acarine,a.
Acaroid,a.
Acarpellous,a.
Acarpous,a.
Acarus,n.
Acatalectic,a.
Acatalectic,n.
Acatalepsy,n.
Acataleptic,a.
Acater,n.
Acates,n. pl.
Acaudate,a.
Acaulescent,a.
Acauline,a.
Acaulose,a.
Acaulous,a.
Accadian,a.
Accede,v. i.
Acceded,imp. & p. p.
Accedence,n.
Acceder,n.
Acceding,p. pr. & vb. n.
Accelerando,a.
Accelerate,v. t.
Accelerated,imp. & p. p.
Accelerating,p. pr. & vb. n.
Acceleration,n.
Accelerative,a.
Accelerator,n.
Acceleratory,a.
Accelerograph,n.
Accelerometer,n.
Accend,v. t.
Accendibility,n.
Accendible,a.
Accension,n.
Accensor,n.
Accent,n.
Accent,v. t.
Accented,imp. & p. p.
Accenting,p. pr. & vb. n.
Accentless,a.
Accentor,n.
Accentuable,a.
Accentual,a.
Accentuality,n.
Accentually,adv.
Accentuate,v. t.
Accentuated,imp. & p. p.
Accentuating,p. pr. & vb. n.
Accentuation,n.
Accept,a.
Accept,v. t.
Acceptability,n.
Acceptable,a.
Acceptableness,n.
Acceptably,adv.
Acceptance,n.
Acceptancy,n.
Acceptant,a.
Acceptant,n.
Acceptation,n.
Accepted,imp. & p. p.
Acceptedly,adv.
Accepter,n.
Acceptilation,n.
Accepting,p. pr. & vb. n.
Acception,n.
Acceptive,a.
Acceptor,n.
Access,n.
Accessaries,pl. 
Accessarily,adv.
Accessariness,n.
Accessary,a.
Accessary,n.
Accessibility,n.
Accessible,a.
Accessibly,adv.
Accession,n.
Accessional,a.
Accessive,a.
Accessorial,a.
Accessories,pl. 
Accessorily,adv.
Accessoriness,n.
Accessory,a.
Accessory,n.
Acciaccatura,n.
Accidence,n.
Accident,n.
Accidental,a.
Accidental,n.
Accidentalism,n.
Accidentality,n.
Accidentally,adv.
Accidentalness,n.
Accidie,n.
Accipenser,n.
Accipient,n.
Accipiter,n.
Accipiters,pl. 
Accipitral,n.
Accipitres,n. pl.
Accipitres,pl. 
Accipitrine,a.
Accismus,n.
Accite,v. t.
Acclaim,n.
Acclaim,v. i.
Acclaim,v. t.
Acclaimer,n.
Acclamation,n.
Acclamatory,a.
Acclimatable,a.
Acclimatation,n.
Acclimate,v. t.
Acclimated,imp. & p. p.
Acclimatement,n.
Acclimating,p. pr. & vb. n.
Acclimation,n.
Acclimatizable,a.
Acclimatization,n.
Acclimatize,v. t.
Acclimatized,imp. & p. p.
Acclimatizing,p. pr. & vb. n.
Acclimature,n.
Acclive,a.
Acclivities,pl. 
Acclivitous,a.
Acclivity,n.
Acclivous,a.
Accloy,v. t.
Accoast,v. t. & i.
Accoil,v. t.
Accolade,n.
Accombination,n.
Accommodable,a.
Accommodableness,n.
Accommodate,a.
Accommodate,v. i.
Accommodate,v. t.
Accommodated,imp. & p. p.
Accommodately,adv.
Accommodateness,n.
Accommodating,a.
Accommodating,p. pr. & vb. n.
Accommodation,n.
Accommodator,n.
Accompanable,a.
Accompanied,imp. & p. p.
Accompanier,n.
Accompaniment,n.
Accompanist,n.
Accompany,v. i.
Accompany,v. t.
Accompanying,p. pr. & vb. n.
Accompletive,a.
Accomplice,n.
Accompliceship,n.
Accomplicity,n.
Accomplish,v. t.
Accomplishable,a.
Accomplished,a.
Accomplished,imp. & p. p.
Accomplisher,n.
Accomplishing,p. pr. & vb. n.
Accomplishment,n.
Accompt,n.
Accomptable,a.
Accomptant,n.
Accord,v. i.
Accord,v. t.
Accordable,a.
Accordance,n.
Accordancy,n.
Accordant,a.
Accordantly,adv.
Accorded,imp. & p. p.
Accorder,n.
According,adv.
According,p. a.
According,p. pr. & vb. n.
Accordingly,adv.
Accordion,n.
Accordionist,n.
Accordment,v.
Accorporate,v. t.
Accost,n.
Accost,v. i.
Accost,v. t.
Accostable,a.
Accosted,a.
Accosted,imp. & p. p.
Accosting,p. pr. & vb. n.
Accouchement,n.
Accoucheur,n.
Accoucheuse,n.
Account book,
Account,n.
Account,v. i.
Account,v. t.
Accountability,n.
Accountable ness,n.
Accountable,a.
Accountably,adv.
Accountancy,n.
Accountant,a.
Accountant,n.
Accountantship,n.
Accounted,imp. & p. p.
Accounting,p. pr. & vb. n.
Accouple,v. t.
Accouplement,n.
Accourage,v. t.
Accourt,v. t.
Accouter,v. t.
Accoutered,imp. & p. p.
Accoutering,p. pr. & vb. n.
Accouterments,n. pl.
Accoutre,v. t.
Accoutred,
Accoutrements,n. pl.
Accoutring,
Accoy,v. t.
Accredit,v. t.
Accreditation,n.
Accredited,imp. & p. p.
Accrediting,p. pr. & vb. n.
Accrementitial,a.
Accrementition,n.
Accresce,v. i.
Accrescence,n.
Accrescent,a.
Accrete,a.
Accrete,v. i.
Accrete,v. t.
Accretion,n.
Accretive,a.
Accriminate,v. t.
Accroach,v. t.
Accroachment,n.
Accrual,n.
Accrue,n.
Accrued,imp. & p. p.
Accruer,n.
Accruing,p. pr. & vb. n.
Accrument,n.
Accubation,n.
Accumb,v. i.
Accumbency,n.
Accumbent,a.
Accumbent,n.
Accumber,v. t.
Accumulate,a.
Accumulate,v. i.
Accumulate,v. t.
Accumulated,imp. & p. p.
Accumulating,p. pr. & vb. n.
Accumulation,n.
Accumulative,a.
Accumulator,n.
Accuracy,n.
Accurate,a.
Accurately,adv.
Accurateness,n.
Accurse,v. t.
Accursed,p. p. & a.
Accurst,p. p. & a.
Accusable,a.
Accusal,n.
Accusant,n.
Accusation,n.
Accusatival,a.
Accusative,a.
Accusative,n.
Accusatively,adv.
Accusatorial,a.
Accusatorially,adv.
Accusatory,a.
Accuse,n.
Accuse,v. t.
Accused,a.
Accused,imp. & p. p.
Accusement,n.
Accuser,n.
Accusing,p. pr. & vb. n.
Accusingly,adv.
Accustom,n.
Accustom,v. i.
Accustom,v. t.
Accustomable,a.
Accustomably,adv.
Accustomance,n.
Accustomarily,adv.
Accustomary,a.
Accustomed,a.
Accustomed,imp. & p. p.
Accustomedness,n.
Accustoming,p. pr. & vb. n.
Ace,n.
Aceldama,n.
Acentric,a.
Acephal,n.
Acephala,n. pl.
Acephalan,a.
Acephalan,n.
Acephali,n. pl.
Acephalist,n.
Acephalocyst,n.
Acephalocystic,a.
Acephalous,a.
Acerate,a.
Acerate,n.
Acerb,a.
Acerbate,v. t.
Acerbic,a.
Acerbitude,n.
Acerbity,n.
Aceric,a.
Acerose,a.
Acerous,a.
Acerval,a.
Acervate,a.
Acervate,v. t.
Acervation,n.
Acervative,a.
Acervose,a.
Acervuline,a.
Aces,pl. 
Acescence,n.
Acescency,n.
Acescent,a.
Acescent,n.
Acetable,n.
Acetabular,a.
Acetabulifera,n. pl.
Acetabuliferous,a.
Acetabuliform,a.
Acetabulum,n.
Acetal,n.
Acetaldehyde,n.
Acetamide,n.
Acetanilide,n.
Acetarious,a.
Acetary,n.
Acetate,n.
Acetated,a.
Acetic,a.
Acetification,n.
Acetified,imp. & p. p.
Acetifier,n.
Acetify,v. i.
Acetify,v. t.
Acetifying,p. pr. & vb. n.
Acetimeter,n.
Acetimetry,n.
Acetin,n.
Acetize,v. i.
Acetometer,n.
Acetone,n.
Acetonic,a.
Acetose,a.
Acetosity,n.
Acetous,a.
Acetyl,n.
Acetylene,n.
Ach,n.
Achaean,a.
Achaian,a.
Achaian,n.
Acharnement,n.
Achate,n.
Achatina,n.
Achatour,n.
Ache,n.
Ache,v. i.
Achean,a & n.
Ached,imp. & p. p.
Achene,n.
Achenial,a.
Achenium,n.
Acheron,n.
Acherontic,a.
Achievable,a.
Achievance,n.
Achieve,v. t.
Achieved,imp. & p. p.
Achievement,n.
Achiever,n.
Achieving,p. pr. & vb. n.
Achillean,a.
Achilles' tendon,n.
Achilous,a.
Aching,a.
Aching,p. pr. & vb. n.
Achiote,n.
Achlamydate,a.
Achlamydeous,a.
Acholia,n.
Acholous,a.
Achromatic,a.
Achromatically,adv.
Achromaticity,n.
Achromatin,n.
Achromatism,n.
Achromatization,n.
Achromatize,v. t.
Achromatized,imp. & p. p.
Achromatizing,p. pr. & vb. n.
Achromatopsy,n.
Achronic,a.
Achroodextrin,n.
Achroous,a.
Achylous,a.
Achymous,a.
Acicula,n.
Aciculae,pl. 
Acicular,a.
Aciculate,a.
Aciculated,a.
Aciculiform,a.
Aciculite,n.
Acid,a.
Acid,n.
Acidic,a.
Acidiferous,a.
Acidifiable,a.
Acidific,a.
Acidification,n.
Acidified,imp. & p. p.
Acidifier,n.
Acidify,v. t.
Acidifying,p. pr. & vb. n.
Acidimeter,n.
Acidimetry,n.
Acidity,n.
Acidly,adv.
Acidness,n.
Acidulate,v. t.
Acidulated,imp. & p. p.
Acidulating,p. pr. & vb. n.
Acidulent,a.
Acidulous,a.
Acierage,n.
Aciform,a.
Acinaceous,a.
Acinaces,n.
Acinaciform,a.
Acinesia,n.
Acinetae,n. pl.
Acinetiform,a.
Acini,pl. 
Aciniform,a.
Acinose,a.
Acinous,a.
Acinus,n.
Acipenser,n.
Aciurgy,n.
Acknow,v. t.
Acknowledge,v. t.
Acknowledged,imp. & p. p.
Acknowledgedly,adv.
Acknowledger,n.
Acknowledging,p. pr. & vb. n.
Acknowledgment,n.
Aclinic,a.
Acme,n.
Acne,n.
Acnodal,a.
Acnode,n.
Acock,adv.
Acockbill,adv.
Acold,a.
Acologic,a.
Acology,n.
Acolothist,n.
Acolyctine,n.
Acolyte,n.
Acolyth,n.
Acolythist,n.
Aconddylose,a.
Acondylous,a.
Aconital,a.
Aconite,n.
Aconitia,n.
Aconitic,a.
Aconitine,n.
Aconitum,n.
Acontia,n. pl.
Acontias,n.
Acopic,a.
Acorn cup,
Acorn,n.
Acorn-shell,n.
Acorned,a.
Acosmism,n.
Acosmist,n.
Acotyledon,n.
Acotyledonous,a.
Acouchy,n.
Acoumeter,n.
Acoumetry,n.
Acoustic,a.
Acoustic,n.
Acoustical,a.
Acoustically,adv.
Acoustician,n.
Acoustics,n.
Acquaint,v. t.
Acquaintable,a.
Acquaintance,n.
Acquaintanceship,n.
Acquaintant,n.
Acquainted,a.
Acquainted,imp. & p. p.
Acquaintedness,n.
Acquainting,p. pr. & vb. n.
Acquest,n.
Acquiesce,v. i.
Acquiesced,imp. & p. p.
Acquiescence,n.
Acquiescency,n.
Acquiescent,a.
Acquiescently,adv.
Acquiescing,p. pr. & vb. n.
Acquiet,v. t.
Acquirability,n.
Acquirable,a.
Acquire,v. t.
Acquired,imp. & p. p.
Acquirement,n.
Acquirer,n.
Acquiring,p. pr. & vb. n.
Acquiry,n.
Acquisite,a.
Acquisition,n.
Acquisitive,a.
Acquisitively,adv.
Acquisitiveness,n.
Acquisitor,n.
Acquist,n.
Acquit,p. p.
Acquit,v. t.
Acquitment,n.
Acquittal,n.
Acquittance,n.
Acquittance,v. t.
Acquitted,imp. & p. p.
Acquitter,n.
Acquitting,p. pr. & vb. n.
Acrania,n.
Acranial,a.
Acrase,v. t.
Acrasia,n.
Acraspeda,n. pl.
Acrasy,n.
Acraze,v. t.
Acre,n.
Acreable,a.
Acreage,n.
Acred,a.
Acrid,a.
Acridity,n.
Acridly,adv.
Acridness,n.
Acrimonies,pl. 
Acrimonious,a.
Acrimoniously,adv.
Acrimoniousness,n.
Acrimony,n.
Acrisia,n.
Acrisy,n.
Acrita,n. pl.
Acritan,a.
Acritan,n.
Acrite,a.
Acritical,a.
Acritochromacy,n.
Acritude,n.
Acrity,n.
Acroamatic,a.
Acroamatical,a.
Acroatic,a.
Acrobat,n.
Acrobatic,a.
Acrobatism,n.
Acrocarpous,a.
Acrocephalic,a.
Acrocephaly,n.
Acroceraunian,a.
Acrodactylum,n.
Acrodont,a.
Acrodont,n.
Acrogen,n.
Acrogenous,a.
Acrolein,n.
Acrolith,n.
Acrolithan,a.
Acrolithic,a.
Acromegaly,n.
Acromial,a.
Acromion,n.
Acromonogrammatic,a.
Acronyc,a.
Acronycally,adv.
Acronychal,a.
Acronyctous,a.
Acrook,adv.
Acropetal,a.
Acrophony,n.
Acropodium,n.
Acropolis,n.
Acropolitan,a.
Acrospire,n.
Acrospire,v. i.
Acrospore,n.
Acrosporous,a.
Across,adv.
Across,n.
Acrostic,n.
Acrostical,n.
Acrostically,adv.
Acrotarsium,n.
Acroteleutic,n.
Acroter,n.
Acroteria,pl. 
Acroterial,a.
Acroterium,n.
Acrotic,a.
Acrotism,n.
Acrotomous,a.
Acrylic,a.
Act,n.
Act,v. i.
Act,v. t.
Actable,a.
Acted,imp. & p. p.
Actinal,a.
Actinaria,n. pl.
Acting,a.
Acting,p. pr. & vb. n.
Actinia,n.
Actiniae,pl. 
Actinias,pl. 
Actinic,a.
Actiniform,a.
Actinism,n.
Actinium,n.
Actino-chemistry,n.
Actinograph,n.
Actinoid,a.
Actinolite,n.
Actinolitic,a.
Actinology,n.
Actinomere,n.
Actinometer,n.
Actinometric,a.
Actinometry,n.
Actinophorous,a.
Actinosome,n.
Actinost,n.
Actinostome,n.
Actinotrocha,n. pl.
Actinozoa,n. pl.
Actinozoal,a.
Actinozoon,n.
Actinula,n. pl.
Action,n.
Actionable,a.
Actionably,adv.
Actionary,n.
Actionist,n.
Actionless,a.
Activate,v. t.
Active,a.
Actively,adv.
Activeness,n.
Activities,pl. 
Activity,n.
Actless,a.
Acton,n.
Actor,n.
Actress,n.
Actual,a.
Actual,n.
Actualist,n.
Actualities,pl. 
Actuality,n.
Actualization,n.
Actualize,v. t.
Actually,adv.
Actualness,n.
Actuarial,a.
Actuaries,pl. 
Actuary,n.
Actuate,a.
Actuate,v. t.
Actuated,imp. & p. p.
Actuating,p. pr. & vb. n.
Actuation,n.
Actuator,n.
Actuose,a.
Actuosity,n.
Acture,n.
Acturience,n.
Acuate,a.
Acuate,v. t.
Acuation,n.
Acuition,n.
Acuity,n.
Aculeate,a.
Aculeated,a.
Aculei,pl. 
Aculeiform,a.
Aculeolate,a.
Aculeous,a.
Aculeus,n.
Acumen,n.
Acuminate,a.
Acuminate,v. i.
Acuminate,v. t.
Acumination,n.
Acuminose,a.
Acuminous,a.
Acupressure,n.
Acupuncturation,n.
Acupuncture,n.
Acupuncture,v. t.
Acustumaunce,n.
Acutangular,a.
Acute,a.
Acute,v. t.
Acute-angled,a.
Acutely,adv.
Acuteness,n.
Acutifoliate,a.
Acutilobate,a.
Ad captandum,
Ad hominem,
Ad infinitum,
Ad interim,
Ad libitum,
Ad valorem,
Ad-,
Adact,v. t.
Adactyl,a.
Adactylous,a.
Adage,n.
Adagial,a.
Adagio,a. & adv.
